Soil Type,pH Level,Organic Matter (%),CEC (meq/100g),Texture,Temperature (°C),Precipitation (mm),Land Use/Land Cover,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm)
Clay,6.5,2.3,20,Clayey,25,100,Agricultural,25,10,30
Loam,6.8,3.5,15,Loamy,22,120,Forest,20,8,35
Sandy,5.8,1.0,5,Sandy,30,80,Grassland,15,6,20
Clay,7.2,4.0,25,Clayey,20,90,Agricultural,30,12,40
Sandy,6.0,2.5,10,Sandy,28,85,Grassland,18,7,25
Loam,7.0,2.0,18,Loamy,24,110,Forest,22,9,33
Clay,6.6,3.8,22,Clayey,23,95,Agricultural,28,11,38
Sandy,6.2,1.8,8,Sandy,29,75,Grassland,16,5,22
Clay,6.9,3.0,18,Clayey,21,105,Agricultural,26,10,32
Loam,6.7,2.7,17,Loamy,25,115,Forest,21,9,29
Sandy,6.1,1.5,7,Sandy,27,70,Grassland,17,6,23
Clay,7.0,3.5,23,Clayey,24,98,Agricultural,29,12,37
Loam,6.5,2.5,16,Loamy,23,112,Forest,20,8,30
Sandy,6.3,1.7,9,Sandy,26,78,Grassland,19,7,26
Clay,6.9,3.1,19,Clayey,22,97,Agricultural,27,11,33
Loam,6.8,3.0,16,Loamy,21,118,Forest,19,7,31
Sandy,6.5,1.4,6,Sandy,28,82,Grassland,14,5,21
Sandy,6.7,2.0,11,Sandy,27,84,Grassland,17,8,24
Loam,6.6,2.3,17,Loamy,24,111,Forest,23,10,32
Clay,7.0,3.4,21,Clayey,23,97,Agricultural,28,11,36
Sandy,6.5,1.9,7,Sandy,26,77,Grassland,15,6,22
Clay,6.8,3.2,20,Clayey,25,102,Agricultural,26,11,34
Loam,6.7,2.8,16,Loamy,22,114,Forest,20,9,31
Sandy,6.4,1.6,8,Sandy,29,73,Grassland,18,7,26
Clay,7.2,3.8,23,Clayey,21,95,Agricultural,29,12,39
Loam,6.6,2.6,15,Loamy,23,112,Forest,22,8,34
Sandy,6.6,1.8,9,Sandy,27,80,Grassland,16,6,23
Clay,6.7,2.9,20,Clayey,24,99,Agricultural,27,10,32
Loam,6.9,3.3,14,Loamy,21,117,Forest,19,7,30
Sandy,6.4,1.3,7,Sandy,28,83,Grassland,14,5,21
Sandy,6.4,1.3,7,Sandy,28,83,Grassland,14,5,27
Clay,6.3,2.0,19,Clayey,24,105,Agricultural,28,10,35
Loam,6.5,3.0,14,Loamy,21,115,Forest,18,7,32
Sandy,6.2,1.2,6,Sandy,29,79,Grassland,16,5,23
Clay,6.9,3.5,24,Clayey,22,97,Agricultural,30,13,39
Sandy,6.8,2.3,10,Sandy,27,83,Grassland,17,8,25
Loam,7.1,2.6,17,Loamy,23,110,Forest,22,9,31
Clay,6.7,3.0,21,Clayey,24,98,Agricultural,29,11,38
Sandy,6.6,1.7,8,Sandy,26,75,Grassland,15,6,21
Clay,6.8,3.1,19,Clayey,25,103,Agricultural,27,12,33
Loam,7.0,2.8,15,Loamy,22,112,Forest,20,8,29
Sandy,6.3,1.5,7,Sandy,28,80,Grassland,15,5,20
Clay,7.2,3.6,25,Clayey,21,96,Agricultural,31,14,41
Loam,6.6,2.4,16,Loamy,23,114,Forest,21,9,30
Sandy,6.4,1.8,9,Sandy,27,77,Grassland,17,7,24
Clay,7.0,3.3,22,Clayey,22,99,Agricultural,28,11,37
Loam,6.9,2.9,15,Loamy,21,116,Forest,19,8,33
Sandy,6.5,1.6,8,Sandy,29,72,Grassland,16,7,22
Clay,7.1,3.7,23,Clayey,22,95,Agricultural,30,12,40
Loam,6.7,2.5,16,Loamy,24,111,Forest,20,9,30
Sandy,6.4,1.9,10,Sandy,28,78,Grassland,18,6,25
Clay,6.4,2.1,20,Clayey,24,102,Agricultural,29,10,34
Loam,6.6,3.1,13,Loamy,21,116,Forest,17,7,31
Sandy,6.3,1.1,5,Sandy,29,80,Grassland,15,5,22
Clay,6.8,3.6,24,Clayey,22,96,Agricultural,31,13,40
Sandy,6.7,2.2,9,Sandy,27,84,Grassland,16,8,24
Loam,7.2,2.7,16,Loamy,23,109,Forest,21,9,32
Clay,6.7,3.1,20,Clayey,24,97,Agricultural,28,11,37
Sandy,6.5,1.6,7,Sandy,26,76,Grassland,15,6,21
Clay,6.9,3.2,18,Clayey,25,104,Agricultural,27,12,34
Loam,6.8,2.7,14,Loamy,22,113,Forest,19,8,30
Sandy,6.4,1.4,6,Sandy,28,81,Grassland,14,5,20
Clay,7.1,3.7,25,Clayey,22,94,Agricultural,32,14,41
Loam,6.7,2.4,15,Loamy,23,112,Forest,20,9,31
Sandy,6.6,1.9,9,Sandy,27,78,Grassland,17,7,23
Clay,7.0,3.2,22,Clayey,23,98,Agricultural,29,12,38
Loam,6.9,3.0,16,Loamy,21,117,Forest,19,8,33
Sandy,6.5,1.5,8,Sandy,29,75,Grassland,16,6,22
Clay,7.0,3.6,23,Clayey,22,95,Agricultural,30,13,39
Loam,6.6,2.5,17,Loamy,24,110,Forest,21,10,31
Sandy,6.3,1.7,8,Sandy,28,79,Grassland,16,7,24
Clay,6.9,3.3,21,Clayey,22,97,Agricultural,28,11,36
Loam,6.8,2.8,15,Loamy,21,118,Forest,20,9,32
Sandy,6.4,1.8,10,Sandy,28,77,Grassland,18,6,25
Clay,7.1,3.8,24,Clayey,22,96,Agricultural,31,14,40
Loam,6.7,2.6,16,Loamy,24,111,Forest,20,9,30
Sandy,6.5,1.7,9,Sandy,27,76,Grassland,16,7,22
Clay,6.8,3.3,19,Clayey,25,103,Agricultural,28,12,35
Loam,6.9,2.9,14,Loamy,21,116,Forest,18,8,31
Sandy,6.4,1.3,6,Sandy,29,80,Grassland,14,5,21
Clay,7.0,3.5,23,Clayey,22,97,Agricultural,29,12,37
Loam,6.6,2.4,15,Loamy,23,112,Forest,21,9,31
Sandy,6.5,1.8,10,Sandy,28,78,Grassland,17,6,24
Clay,6.9,3.4,20,Clayey,23,99,Agricultural,27,10,32
Clay,6.4,2.2,21,Clayey,24,103,Agricultural,30,11,35
Loam,6.6,3.2,13,Loamy,21,117,Forest,18,7,32
Sandy,6.3,1.2,6,Sandy,29,81,Grassland,15,6,22
Clay,6.8,3.7,25,Clayey,22,97,Agricultural,32,14,41
Sandy,6.7,2.3,10,Sandy,27,85,Grassland,17,8,25
Loam,7.2,2.8,16,Loamy,23,110,Forest,22,9,31
Clay,6.6,3.2,21,Clayey,24,98,Agricultural,29,12,38
Sandy,6.5,1.7,7,Sandy,26,77,Grassland,16,6,21
Clay,6.9,3.3,19,Clayey,25,104,Agricultural,28,13,34
Loam,6.8,2.6,14,Loamy,22,114,Forest,20,8,30
Sandy,6.4,1.5,6,Sandy,28,80,Grassland,14,5,20
Clay,7.1,3.8,26,Clayey,22,94,Agricultural,33,15,42
Loam,6.7,2.5,15,Loamy,23,112,Forest,21,10,31
Sandy,6.6,1.8,9,Sandy,27,78,Grassland,18,7,23
Clay,7.0,3.3,23,Clayey,23,99,Agricultural,30,12,39
Loam,6.9,3.1,16,Loamy,21,117,Forest,20,8,34
Sandy,6.5,1.6,8,Sandy,29,76,Grassland,15,6,22
Clay,7.0,3.7,24,Clayey,22,95,Agricultural,31,14,40
Loam,6.6,2.6,17,Loamy,24,111,Forest,21,9,30
Sandy,6.5,1.9,10,Sandy,28,75,Grassland,17,6,24
Clay,6.8,3.4,20,Clayey,23,100,Agricultural,29,11,36
Loam,6.9,3.0,15,Loamy,21,116,Forest,19,8,32
Sandy,6.4,1.4,7,Sandy,29,79,Grassland,16,5,21
Clay,7.1,3.6,25,Clayey,22,96,Agricultural,32,13,42
Loam,6.7,2.4,16,Loamy,23,113,Forest,20,9,31
Sandy,6.6,1.7,9,Sandy,27,77,Grassland,16,7,23
Clay,6.8,3.5,22,Clayey,24,101,Agricultural,31,12,37
Loam,6.9,2.9,14,Loamy,21,118,Forest,19,8,33
Sandy,6.4,1.3,6,Sandy,28,82,Grassland,15,5,20
Clay,7.0,3.6,23,Clayey,22,97,Agricultural,30,12,38
Loam,6.6,2.5,17,Loamy,24,110,Forest,21,10,30
Sandy,6.5,1.8,10,Sandy,28,76,Grassland,17,6,24
Clay,6.9,3.4,20,Clayey,23,99,Agricultural,29,11,37
Loam,6.8,2.8,15,Loamy,21,119,Forest,20,9,33
Sandy,6.4,1.5,8,Sandy,29,78,Grassland,16,6,23
Clay,7.1,3.7,24,Clayey,22,96,Agricultural,31,14,41
Loam,6.7,2.6,16,Loamy,23,112,Forest,21,9,31
Sandy,6.6,1.9,11,Sandy,27,79,Grassland,17,7,24
Clay,6.3,2.0,20,Clayey,24,104,Agricultural,31,11,36
Loam,6.5,3.0,13,Loamy,21,118,Forest,19,8,33
Sandy,6.2,1.2,7,Sandy,29,82,Grassland,15,6,23
Clay,6.8,3.7,26,Clayey,22,98,Agricultural,33,14,42
Sandy,6.7,2.3,11,Sandy,27,86,Grassland,18,9,26
Loam,7.2,2.8,17,Loamy,23,111,Forest,23,10,32
Clay,6.6,3.3,22,Clayey,24,99,Agricultural,30,13,39
Sandy,6.5,1.8,8,Sandy,26,78,Grassland,16,7,22
Clay,6.9,3.4,20,Clayey,25,105,Agricultural,29,12,35
Loam,6.8,2.7,15,Loamy,22,115,Forest,21,9,31
Sandy,6.4,1.6,7,Sandy,28,81,Grassland,14,5,21
Clay,7.1,3.8,27,Clayey,22,93,Agricultural,34,15,43
Loam,6.7,2.5,16,Loamy,23,113,Forest,22,10,30
Sandy,6.6,1.7,10,Sandy,27,79,Grassland,17,8,24
Clay,7.0,3.3,24,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,3.1,17,Loamy,21,117,Forest,20,9,35
Sandy,6.5,1.5,9,Sandy,29,77,Grassland,16,6,23
Clay,7.0,3.8,25,Clayey,22,96,Agricultural,32,14,41
Loam,6.6,2.6,18,Loamy,24,112,Forest,20,9,29
Sandy,6.5,1.9,11,Sandy,28,76,Grassland,18,7,25
Clay,6.8,3.5,23,Clayey,23,101,Agricultural,31,13,38
Loam,6.9,3.0,16,Loamy,21,118,Forest,19,8,34
Sandy,6.4,1.4,8,Sandy,29,80,Grassland,15,5,22
Clay,7.1,3.7,26,Clayey,22,97,Agricultural,32,14,42
Loam,6.7,2.4,17,Loamy,23,114,Forest,21,10,31
Sandy,6.6,1.8,10,Sandy,27,78,Grassland,17,6,24
Clay,6.8,3.4,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,15,Loamy,21,119,Forest,19,8,32
Sandy,6.4,1.3,7,Sandy,28,83,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,98,Agricultural,31,13,39
Loam,6.6,2.5,18,Loamy,24,113,Forest,20,9,30
Sandy,6.5,1.7,9,Sandy,28,77,Grassland,16,7,23
Clay,6.8,3.3,20,Clayey,23,103,Agricultural,29,11,36
Loam,6.9,2.8,14,Loamy,21,120,Forest,20,9,33
Sandy,6.4,1.5,8,Sandy,29,79,Grassland,16,6,22
Clay,7.1,3.6,25,Clayey,22,96,Agricultural,32,14,41
Loam,6.7,2.6,16,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.9,11,Sandy,27,78,Grassland,17,7,24
Clay,6.8,3.5,22,Clayey,24,101,Agricultural,31,12,38
Loam,6.9,3.0,17,Loamy,21,118,Forest,19,8,34
Sandy,6.4,1.4,9,Sandy,29,80,Grassland,15,5,22
Clay,7.0,3.7,26,Clayey,22,97,Agricultural,32,14,42
Loam,6.7,2.5,16,Loamy,23,114,Forest,20,9,31
Sandy,6.6,1.8,10,Sandy,27,79,Grassland,17,6,24
Clay,6.8,3.4,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,15,Loamy,21,119,Forest,19,8,32
Sandy,6.4,1.3,7,Sandy,28,83,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,98,Agricultural,31,13,39
Loam,6.6,2.5,18,Loamy,24,113,Forest,20,9,30
Sandy,6.5,1.7,9,Sandy,28,77,Grassland,16,7,23
Clay,6.3,1.9,19,Clayey,24,105,Agricultural,28,11,34
Loam,6.4,3.1,12,Loamy,21,119,Forest,18,8,31
Sandy,6.1,1.1,6,Sandy,30,80,Grassland,14,5,20
Clay,6.7,3.6,25,Clayey,22,99,Agricultural,32,13,40
Sandy,6.8,2.4,10,Sandy,27,87,Grassland,18,9,26
Loam,7.3,2.9,18,Loamy,23,112,Forest,22,10,33
Clay,6.5,3.3,21,Clayey,24,100,Agricultural,30,12,37
Sandy,6.6,1.9,8,Sandy,26,79,Grassland,16,7,21
Clay,7.0,3.5,19,Clayey,25,106,Agricultural,29,12,36
Loam,6.9,2.8,14,Loamy,22,116,Forest,21,9,32
Sandy,6.3,1.6,7,Sandy,28,82,Grassland,15,6,22
Clay,7.2,3.9,28,Clayey,22,92,Agricultural,35,16,43
Loam,6.8,2.5,15,Loamy,23,115,Forest,20,9,30
Sandy,6.7,1.8,10,Sandy,27,80,Grassland,17,8,24
Clay,7.1,3.4,23,Clayey,23,101,Agricultural,31,14,41
Loam,6.6,2.7,16,Loamy,21,120,Forest,20,9,35
Sandy,6.5,1.4,9,Sandy,29,78,Grassland,16,6,23
Clay,7.1,3.8,26,Clayey,22,97,Agricultural,32,15,42
Loam,6.7,2.6,17,Loamy,23,114,Forest,21,10,31
Sandy,6.6,1.7,11,Sandy,27,79,Grassland,17,7,25
